district,x,y
Kanchanpur, -338.0, 49.0
Baitadi, -313.0, 114.0
Darchula, -301.0, 149.0
Dadeldhura, -329.0, 85.0
Doti, -291.0, 77.0
Bajhang, -264.0, 131.0
Kailali, -300.0, 38.0
Bajura, -231.0, 114.0
Achham, -256.0, 76.0
Humla, -215.0, 171.0
Bardiya, -250.0, -0.0
Kalikot, -218.0, 79.0
Dailekh, -224.0, 47.0
Banke, -211.0, -30.0
Mugu, -154.0, 120.0
Surkhet, -227.0, 15.0
Jumla, -177.0, 85.0
Jajarkot, -182.0, 40.0
Salyan, -176.0, -2.0
Rukum Paschim, -155.0, 33.0
Dang, -154.0, -52.0
Rukum Purba, -120.0, 28.0
Dolpa, -108.0, 74.0
Rolpa, -136.0, -8.0
Pyuthan, -116.0, -33.0
Kapilvastu, -104.0, -80.0
Arghakhanchi, -96.0, -54.0
Myagdi, -63.0, 10.0
Gulmi, -76.0, -32.0
Mustang, -28.0, 52.0
Baglung, -81.0, -7.0
Rupandehi, -69.0, -86.0
Palpa, -55.0, -60.0
Parbat, -40.0, -17.0
Syangja, -31.0, -41.0
Kaski, -18.0, -8.0
Parasi (Nawalparasi W), -41.0, -91.0
Nawalpur (Nawalparasi E), -15.0, -75.0
Tanahu, 4.0, -46.0
Manang, 0.0, 25.0
Lamjung, 22.0, -15.0
Chitwan, 25.0, -87.0
Gorkha, 58.0, -13.0
Parsa, 53.0, -121.0
Dhading, 62.0, -59.0
Makwanpur, 75.0, -91.0
Nuwakot, 89.0, -55.0
Bara, 78.0, -136.0
Rasuwa, 105.0, -27.0
Kathmandu, 104.0, -65.0
Lalitpur, 104.0, -90.0
Rautahat, 96.0, -137.0
Bhaktapur, 113.0, -75.0
Kavrepalanchok, 126.0, -87.0
Sarlahi, 119.0, -146.0
Sindhupalchok, 135.0, -55.0
Mahottari, 144.0, -151.0
Sindhuli, 142.0, -117.0
Dolakha, 174.0, -70.0
Ramechhap, 166.0, -98.0
Dhanusha, 164.0, -157.0
Siraha, 191.0, -168.0
Okhaldhunga, 195.0, -111.0
Solukhumbu, 220.0, -83.0
Saptari, 226.0, -184.0
Khotang, 228.0, -124.0
Udayapur, 216.0, -151.0
Bhojpur, 255.0, -127.0
Sunsari, 261.0, -175.0
Sankhuwasabha, 263.0, -84.0
Dhankuta, 277.0, -144.0
Morang, 289.0, -182.0
Terhathum, 298.0, -126.0
Taplejung, 315.0, -92.0
Panchthar, 319.0, -130.0
Ilam, 330.0, -152.0
Jhapa, 330.0, -184.0
