,0
0,Kanchanpur
1,Baitadi
2,Darchula
3,Dadeldhura
4,Kailali
5,Kalikot
6,Dailekh
7,Surkhet
8,Jajarkot
9,Salyan
10,Rukum Paschim
11,Dang
12,Rukum Purba
13,Rolpa
14,Kapilvastu
15,Arghakhanchi
16,Gulmi
17,Baglung
18,Rupandehi
19,Syangja
20,Parasi (Nawalparasi W)
21,Nawalpur (Nawalparasi E)
22,Tanahu
23,Manang
24,Lamjung
25,Gorkha
26,Parsa
27,Dhading
28,Makwanpur
29,Nuwakot
30,Rasuwa
31,Lalitpur
32,Rautahat
33,Kavrepalanchok
34,Sindhupalchok
35,Sindhuli
36,Dolakha
37,Ramechhap
38,Dhanusha
39,Siraha
40,Okhaldhunga
41,Solukhumbu
42,Saptari
43,Khotang
44,Bhojpur
45,Sankhuwasabha
46,Dhankuta
47,Morang
48,Terhathum
49,Panchthar
